tags;type;fill;outline;smooth;coords
morocco;polygon;blue;black;0;[257.0, 107.0, 284.0, 120.0, 247.0, 160.0, 220.0, 157.0]
morocco;oval;red;black;0;[245.0, 124.0, 265.0, 144.0]
algeria;polygon;blue;black;0;[308.0, 210.0, 344.0, 186.0, 338.0, 142.0, 325.0, 124.0, 328.0, 101.0, 298.0, 104.0, 247.0, 161.0]
algeria;oval;red;black;0;[290.0, 135.0, 310.0, 155.0]
tunisia;polygon;blue;black;0;[343.0, 100.0, 346.0, 125.0, 338.0, 142.0, 325.0, 124.0, 328.0, 101.0]
tunisia;oval;red;black;0;[325.0, 108.0, 345.0, 128.0]
libya;polygon;blue;black;0;[414.0, 129.0, 417.0, 202.0, 347.0, 183.0, 341.0, 143.0, 347.0, 127.0]
libya;oval;red;black;0;[370.0, 153.0, 390.0, 173.0]
egypt;polygon;blue;black;0;[463.0, 135.0, 474.0, 188.0, 419.0, 192.0, 415.0, 137.0]
egypt;oval;red;black;0;[433.0, 152.0, 453.0, 172.0]
westernsahara;polygon;blue;black;0;[196.0, 193.0, 219.0, 194.0, 247.0, 161.0, 220.0, 157.0]
westernsahara;oval;red;black;0;[212.0, 162.0, 232.0, 182.0]
mauritania;polygon;blue;black;0;[196.0, 220.0, 257.0, 227.0, 247.0, 161.0, 219.0, 194.0, 196.0, 193.0]
mauritania;oval;red;black;0;[219.0, 194.0, 239.0, 214.0]
mali;polygon;blue;black;0;[259.0, 252.0, 231.0, 240.0, 229.0, 226.0, 257.0, 227.0, 247.0, 161.0, 308.0, 210.0]
mali;oval;red;black;0;[270.0, 197.0, 290.0, 217.0]
gambia;polygon;blue;black;0;[217.0, 233.0, 219.0, 238.0, 201.0, 239.0, 200.0, 235.0]
gambia;oval;red;black;0;[198.0, 225.0, 218.0, 245.0]
senegal;polygon;blue;black;0;[229.0, 226.0, 231.0, 240.0, 202.0, 244.0, 200.0, 241.0, 218.0, 239.0, 221.0, 232.0, 199.0, 232.0, 196.0, 220.0]
senegal;oval;red;black;0;[199.0, 218.0, 219.0, 238.0]
guineabissau;polygon;blue;black;0;[200.0, 244.0, 220.0, 242.0, 209.0, 251.0]
guineabissau;oval;red;black;0;[198.0, 237.0, 218.0, 257.0]
guinea;polygon;blue;black;0;[217.0, 243.0, 241.0, 244.0, 245.0, 266.0, 237.0, 266.0, 228.0, 256.0, 219.0, 259.0]
guinea;oval;red;black;0;[226.0, 239.0, 246.0, 259.0]
sierraleone;polygon;blue;black;0;[214.0, 263.0, 228.0, 256.0, 235.0, 266.0, 227.0, 272.0]
sierraleone;oval;red;black;0;[215.0, 252.0, 235.0, 272.0]
liberia;polygon;blue;black;0;[247.0, 286.0, 252.0, 285.0, 246.0, 267.0, 235.0, 267.0, 230.0, 271.0]
liberia;oval;red;black;0;[227.0, 263.0, 247.0, 283.0]
ivorycoast;polygon;blue;black;0;[269.0, 247.0, 275.0, 283.0, 252.0, 283.0, 246.0, 256.0]
ivorycoast;oval;red;black;0;[250.0, 255.0, 270.0, 275.0]
ghana;polygon;blue;black;0;[287.0, 247.0, 294.0, 278.0, 276.0, 282.0, 273.0, 248.0]
ghana;oval;red;black;0;[270.0, 267.0, 290.0, 287.0]
burginafaso;polygon;blue;black;0;[284.0, 228.0, 303.0, 244.0, 266.0, 248.0]
burginafaso;oval;red;black;0;[274.0, 224.0, 294.0, 244.0]
togo;polygon;blue;black;0;[292.0, 246.0, 298.0, 275.0, 294.0, 278.0, 287.0, 247.0]
togo;oval;red;black;0;[284.0, 250.0, 304.0, 270.0]
benin;polygon;blue;black;0;[308.0, 244.0, 305.0, 275.0, 298.0, 275.0, 292.0, 246.0]
benin;oval;red;black;0;[290.0, 245.0, 310.0, 265.0]
niger;polygon;blue;black;0;[347.0, 185.0, 369.0, 190.0, 358.0, 236.0, 302.0, 240.0, 293.0, 226.0]
niger;oval;red;black;0;[323.0, 209.0, 343.0, 229.0]
nigeria;polygon;blue;black;0;[357.0, 236.0, 363.0, 244.0, 330.0, 283.0, 306.0, 276.0, 308.0, 241.0]
nigeria;oval;red;black;0;[318.0, 245.0, 338.0, 265.0]
chad;polygon;blue;black;0;[412.0, 204.0, 404.0, 252.0, 364.0, 270.0, 370.0, 193.0]
chad;oval;red;black;0;[369.0, 201.0, 389.0, 221.0]
sudan;polygon;blue;black;0;[481.0, 192.0, 451.0, 285.0, 407.0, 251.0, 417.0, 193.0]
sudan;oval;red;black;0;[431.0, 215.0, 451.0, 235.0]
eritrea;polygon;blue;black;0;[511.0, 244.0, 475.0, 233.0, 481.0, 208.0]
eritrea;oval;red;black;0;[478.0, 212.0, 498.0, 232.0]
ethiopia;polygon;blue;black;0;[502.0, 243.0, 500.0, 252.0, 534.0, 266.0, 503.0, 289.0, 460.0, 267.0, 472.0, 236.0]
ethiopia;oval;red;black;0;[471.0, 248.0, 491.0, 268.0]
djibouti;polygon;blue;black;0;[517.0, 241.0, 511.0, 255.0, 500.0, 252.0, 502.0, 243.0]
djibouti;oval;red;black;0;[499.0, 235.0, 519.0, 255.0]
somalia;polygon;blue;black;0;[501.0, 320.0, 567.0, 243.0, 515.0, 254.0, 534.0, 266.0, 503.0, 289.0]
somalia;oval;red;black;0;[520.0, 269.0, 540.0, 289.0]
cameroon;polygon;blue;black;0;[333.0, 295.0, 364.0, 296.0, 363.0, 244.0, 330.0, 283.0]
cameroon;oval;red;black;0;[340.0, 264.0, 360.0, 284.0]
gabon;polygon;blue;black;0;[358.0, 296.0, 360.0, 316.0, 345.0, 327.0, 334.0, 311.0, 348.0, 296.0]
gabon;oval;red;black;0;[340.0, 301.0, 360.0, 321.0]
equatorialguinea;polygon;blue;black;0;[334.0, 311.0, 348.0, 296.0, 333.0, 295.0]
equatorialguinea;oval;red;black;0;[330.0, 290.0, 350.0, 310.0]
congo;polygon;blue;black;0;[346.0, 328.0, 358.0, 316.0, 364.0, 294.0, 386.0, 287.0, 381.0, 309.0, 352.0, 336.0]
congo;oval;red;black;0;[362.0, 293.0, 382.0, 313.0]
carepublic;polygon;blue;black;0;[407.0, 251.0, 435.0, 278.0, 364.0, 294.0, 364.0, 270.0]
carepublic;oval;red;black;0;[382.0, 268.0, 402.0, 288.0]
drcongo;polygon;blue;black;0;[442.0, 282.0, 438.0, 370.0, 367.0, 335.0, 393.0, 290.0]
drcongo;oval;red;black;0;[400.0, 311.0, 420.0, 331.0]
uganda;polygon;blue;black;0;[465.0, 281.0, 470.0, 310.0, 441.0, 314.0, 444.0, 286.0]
uganda;oval;red;black;0;[448.0, 285.0, 468.0, 305.0]
kenya;polygon;blue;black;0;[500.0, 289.0, 500.0, 319.0, 490.0, 330.0, 470.0, 315.0, 468.0, 281.0]
kenya;oval;red;black;0;[473.0, 290.0, 493.0, 310.0]
rwanda;polygon;blue;black;0;[441.0, 320.0, 448.0, 319.0, 450.0, 313.0, 442.0, 315.0]
burundi;polygon;blue;black;0;[451.0, 318.0, 440.0, 333.0, 442.0, 322.0]
tanzania;polygon;blue;black;0;[456.0, 313.0, 488.0, 329.0, 500.0, 363.0, 468.0, 367.0, 441.0, 341.0]
tanzania;oval;red;black;0;[460.0, 334.0, 480.0, 354.0]
rwanda;oval;red;black;0;[436.0, 309.0, 456.0, 329.0]
burundi;oval;red;black;0;[433.0, 318.0, 453.0, 338.0]
malawi;polygon;blue;black;0;[476.0, 395.0, 458.0, 382.0, 458.0, 358.0]
malawi;oval;red;black;0;[454.0, 368.0, 474.0, 388.0]
zambia;polygon;blue;black;0;[407.0, 359.0, 404.0, 400.0, 453.0, 382.0, 458.0, 358.0, 441.0, 341.0, 438.0, 370.0]
zambia;oval;red;black;0;[426.0, 371.0, 446.0, 391.0]
angola;polygon;blue;black;0;[405.0, 354.0, 402.0, 401.0, 347.0, 397.0, 351.0, 338.0]
angola;oval;red;black;0;[364.0, 361.0, 384.0, 381.0]
namibia;polygon;blue;black;0;[365.0, 457.0, 388.0, 462.0, 397.0, 402.0, 342.0, 398.0]
namibia;oval;red;black;0;[361.0, 406.0, 381.0, 426.0]
botswana;polygon;blue;black;0;[413.0, 396.0, 442.0, 424.0, 392.0, 455.0, 400.0, 404.0]
botswana;oval;red;black;0;[391.0, 411.0, 411.0, 431.0]
zimbabwe;polygon;blue;black;0;[455.0, 387.0, 450.0, 428.0, 418.0, 397.0]
zimbabwe;oval;red;black;0;[432.0, 393.0, 452.0, 413.0]
mozambique;polygon;blue;black;0;[477.0, 396.0, 475.0, 368.0, 503.0, 364.0, 454.0, 452.0, 457.0, 387.0]
mozambique;oval;red;black;0;[459.0, 393.0, 479.0, 413.0]
swaziland;polygon;blue;black;0;[453.0, 440.0, 455.0, 456.0, 444.0, 446.0]
lesotho;polygon;blue;black;0;[433.0, 454.0, 445.0, 465.0, 433.0, 473.0, 426.0, 464.0]
southafrica;polygon;blue;black;0;[445.0, 426.0, 423.0, 474.0, 456.0, 469.0, 393.0, 503.0, 373.0, 466.0]
southafrica;oval;red;black;0;[392.0, 464.0, 412.0, 484.0]
lesotho;oval;red;black;0;[426.0, 455.0, 446.0, 475.0]
swaziland;oval;red;black;0;[442.0, 438.0, 462.0, 458.0]
madagascar;polygon;blue;black;0;[554.0, 366.0, 539.0, 440.0, 506.0, 439.0, 524.0, 368.0]
madagascar;oval;red;black;0;[518.0, 404.0, 538.0, 424.0]
